T100B1,T100B10,T100B100,Omniscient,Random
0.729066126,0.72842838,0.726511834,0.729046778,0.702234774
0.729162312,0.728515292,0.726583857,0.729141041,0.702253816
0.72925402,0.728607007,0.726653959,0.729218987,0.702272226
0.729345241,0.728700473,0.726733348,0.729284763,0.702303595
0.729441262,0.728776178,0.726804413,0.729375659,0.702330488
0.729545611,0.728844518,0.726851311,0.729433443,0.702351457
0.729637313,0.728928546,0.726932938,0.729505145,0.70239403
0.729725013,0.729018173,0.727018561,0.729597959,0.70240859
0.72982424,0.72909916,0.727083226,0.729693823,0.702427959
0.729899305,0.729182543,0.727168049,0.729769527,0.702464611
0.729974049,0.729259051,0.727230947,0.729841062,0.702482221
0.730061429,0.729360828,0.727297205,0.729902844,0.702508145
0.730135048,0.72945477,0.727359466,0.729969428,0.702545597
0.730224675,0.72956407,0.727438853,0.73005297,0.702568966
0.730312217,0.729671929,0.727528317,0.730122112,0.702591217
0.730395922,0.729765064,0.727594412,0.730204691,0.702615072
0.730476905,0.729861409,0.727651872,0.730272552,0.702622114
0.730555647,0.729960954,0.727726134,0.730339776,0.702625322
0.730635349,0.730071697,0.727790473,0.730405557,0.702675745
0.730721134,0.73018404,0.727878342,0.73048718,0.702682951
0.730828518,0.730282463,0.727948762,0.730556484,0.702715601
0.730902621,0.730357842,0.728016623,0.730642746,0.70273161
0.730995764,0.730446825,0.728080973,0.730717169,0.702763938
0.731058992,0.730535489,0.728158753,0.73077815,0.702787317
0.731107014,0.730624145,0.728239895,0.730839769,0.702797399
0.731199514,0.730713608,0.728326797,0.730895303,0.702836603
0.731260503,0.730792517,0.728411782,0.730951477,0.702884451
0.731329481,0.730864058,0.728484121,0.731014381,0.702915014
0.731392065,0.730949205,0.728547658,0.731091044,0.702954698
0.731443126,0.731018025,0.728617917,0.731166909,0.702986068
0.731526194,0.731098686,0.728674734,0.731234285,0.702993277
0.731608777,0.731197268,0.728756194,0.731294785,0.703018241
0.731700957,0.731287848,0.728833656,0.731351286,0.703028644
0.731770416,0.731391393,0.728900235,0.731405544,0.703067221
0.731864995,0.731484379,0.728967455,0.731469563,0.703103076
0.731941179,0.731583443,0.729039629,0.731534065,0.703130757
0.732005839,0.731664423,0.729104606,0.731588641,0.703152999
0.73209978,0.731748281,0.729175184,0.731634097,0.703157964
0.732164119,0.73184574,0.729260964,0.731715398,0.703200041
0.732230216,0.73193056,0.729332661,0.731764854,0.703217481
0.732288159,0.732013777,0.729408841,0.731825833,0.703242283
