T10B1,T100B1,T1000B1
2.720392413,2.365309383,0.731507208
2.734930235,2.365843688,0.731506712
2.717122797,2.333618599,0.736416578
2.728577298,2.340676105,0.751868728
2.725006203,2.348202565,0.730875305
2.72442008,2.355472269,0.758344548
2.717904024,2.354167193,0.744968897
2.71537898,2.360403273,0.759893341
2.724170087,2.36123624,0.742999918
2.728483613,2.367889603,0.762816061
2.729464627,2.322866011,0.752774809
2.724483884,2.379601946,0.732390661
2.731565805,2.343448511,0.740362643
2.725009826,2.353551229,0.74026431
2.73586612,2.341250029,0.75291244
2.733618117,2.33701039,0.753342348
2.726749125,2.351579041,0.742409178
2.728934791,2.371007119,0.753505601
2.727843313,2.336924986,0.755024453
2.730512248,2.346801327,0.757882691
2.732130318,2.320102433,0.758708962
2.730315922,2.349842537,0.750002667
2.720489023,2.353551805,0.76378288
2.727318593,2.341826827,0.753651146
2.718474543,2.344568539,0.745086821
2.72898214,2.344938153,0.721587182
2.727031992,2.345478137,0.738813224
2.73619304,2.349416729,0.738802953
2.713806026,2.321241042,0.739647491
2.726065766,2.332598105,0.748373626
2.722878997,2.353961476,0.757196651
2.730333878,2.335177985,0.749848023
2.71843361,2.367943486,0.749100727
2.717170458,2.350616418,0.736855645
2.711814865,2.33197693,0.744408644
2.735260148,2.330103495,0.764894413
2.725850367,2.365165813,0.755917738
2.735292539,2.344477554,0.740650841
2.725844889,2.362088035,0.741710266
2.709571951,2.33607636,0.73901097
2.721095219,2.36113442,0.752131303
2.72131444,2.352858934,0.748864228
2.719582116,2.340680209,0.738494025
2.71731955,2.348038187,0.766017885
2.730000245,2.364199056,0.750929904
2.726346542,2.350755871,0.73975659
2.715540808,2.346772822,0.759293127
2.735672222,2.347787729,0.743626722
2.724310472,2.354565039,0.742862803
2.727758108,2.371381361,0.739480093
2.703594172,2.343418344,0.752923551
2.717103599,2.35299394,0.732466435
2.722494933,2.370391659,0.753252652
2.716911819,2.375708119,0.750887531
2.73456616,2.365312218,0.73798927
2.72374004,2.337373663,0.753761576
2.707751815,2.362968658,0.763536364
2.724796679,2.353289763,0.755422612
2.703524769,2.339279838,0.750516202
2.735806318,2.323288614,0.746518201
2.713213471,2.34640346,0.755695229
2.714706084,2.374216802,0.747570375
2.722992669,2.350218732,0.744966572
2.716279695,2.385171914,0.751902913
2.719438264,2.36438661,0.755420469
2.710959493,2.330141241,0.737939735
2.716425904,2.334594982,0.75250214
2.721486226,2.344967148,0.733949618
2.719450562,2.367108967,0.742172002
2.720824924,2.352042817,0.744420267
2.719871076,2.366963995,0.749455344
2.715406012,2.374044156,0.735287146
2.724517481,2.363624106,0.744943195
2.706416753,2.366384925,0.753513383
2.715097005,2.338960306,0.744571071
2.729177705,2.357933545,0.750152612
2.714355818,2.341518667,0.762772076
2.723843398,2.357044436,0.753282652
2.722491931,2.359564129,0.746747133
2.720609462,2.345905318,0.75090687
2.717993281,2.376729557,0.728243583
2.71604662,2.371630557,0.751490393
2.715901654,2.361792633,0.757091036
2.715389015,2.358964552,0.739511527
2.724022947,2.342506951,0.756844844
2.712691189,2.339646697,0.738767495
2.707321514,2.366816074,0.746123328
2.721217891,2.363875314,0.747030837
2.722218786,2.369467059,0.755786298
2.709493209,2.375226092,0.755868074
2.716360026,2.358685758,0.759581851
2.716836296,2.36264845,0.748092441
2.70746548,2.354992364,0.754088257
2.707724385,2.36849027,0.755670954
2.724271944,2.376706132,0.745497626
2.703859264,2.370619827,0.762212959
2.710949467,2.363907513,0.744823758
2.718047676,2.39417552,0.755304162
2.716007462,2.350377849,0.745866914
2.710721075,2.365690825,0.750202376
2.711283984,2.362337473,0.745311119
2.702584176,2.365488113,0.752833937
2.71526224,2.332902253,0.762916892
2.719235377,2.359644307,0.745805216
2.712294732,2.345645205,0.742230763
2.712219032,2.351625066,0.749287329
2.70082477,2.3484871,0.732802324
2.719957463,2.363684529,0.755955461
2.717875034,2.371105148,0.7536748
2.710026159,2.360846193,0.751565676
2.722506465,2.334980793,0.74220227
2.706531919,2.347457751,0.733084749
2.711755879,2.350526055,0.74788048
2.715689826,2.379233355,0.746587408
2.712902709,2.364676025,0.750456911
2.714316449,2.366931413,0.758614323
2.722604784,2.344302907,0.76094434
2.717989953,2.371563305,0.745637799
2.718641774,2.348291981,0.740224306
2.715335994,2.369704914,0.744085551
2.717371447,2.361335134,0.753684671
2.721553437,2.355245964,0.746287466
2.714079963,2.3674695,0.74311993
2.714224604,2.373467471,0.738505403
2.713898259,2.351723556,0.747002545
2.703562152,2.379307457,0.741891328
2.704840795,2.351870667,0.756411014
2.717927084,2.364237325,0.741935404
2.709776182,2.370102234,0.748738919
2.710870824,2.333123992,0.747955569
2.713973956,2.367649092,0.739703084
2.713357043,2.348124967,0.758103213
2.724426898,2.364914794,0.754571121
2.707934809,2.364949777,0.747554253
2.723795179,2.370525387,0.753160461
2.720238,2.365178322,0.746842427
2.705478919,2.364876938,0.776209868
2.710031802,2.374094124,0.74887711
2.722200239,2.360525549,0.736180498
2.708072951,2.349081982,0.755571937
2.708602768,2.362889964,0.758882692
2.71152261,2.374514303,0.750631104
2.707421917,2.386901872,0.754463485
2.701574955,2.37392002,0.761905862
2.710869747,2.385425979,0.764725002
2.720862415,2.365016581,0.758936436
2.714501104,2.366133832,0.735096818
2.708452147,2.377025215,0.738835536
2.704134847,2.380279368,0.735007716
2.704871598,2.372423479,0.762101766
2.713004009,2.378193291,0.746410606
2.708172132,2.359891545,0.763116806
2.716727039,2.35554225,0.745475985
2.721011491,2.36282485,0.762093055
2.711244704,2.359779491,0.74449699
2.716650737,2.378506924,0.753043628
2.704892331,2.34832732,0.752566832
2.709048931,2.366753354,0.728152347
2.705707198,2.380368198,0.765530222
2.697981595,2.38502217,0.739858874
2.706761737,2.3610031,0.757347017
2.723807831,2.377466637,0.766940043
2.708487856,2.365912486,0.748967852
2.702305815,2.37041838,0.752319032
2.711432384,2.356941124,0.754483676
2.719447087,2.364802958,0.742274735
2.715305307,2.367914521,0.759953968
2.726491384,2.384794189,0.740372916
2.717769949,2.390987397,0.753432827
2.720455196,2.364401163,0.748273303
2.709891579,2.374051644,0.75393111
2.70787684,2.380668294,0.755425687
2.713954338,2.387021757,0.750527767
