Ours,Omniscient,Random
0.726774765,0.726962204,0.70153893
0.726891916,0.72705055,0.701557171
0.72703419,0.727153939,0.70156677
0.72714589,0.727237163,0.701604053
0.727267354,0.72732071,0.701619903
0.727363866,0.72741369,0.701655748
0.727509336,0.727492757,0.701691756
0.72762744,0.727576298,0.701714801
0.727715302,0.727687847,0.701743128
0.727841565,0.727759867,0.701751134
0.727950873,0.727846292,0.701787142
0.728015851,0.727954151,0.701795797
0.72811027,0.728045374,0.701815162
0.728227254,0.7281334,0.70183036
0.728310957,0.728202219,0.701855969
0.728410664,0.728309765,0.701908944
0.728519966,0.728374265,0.701944149
0.72860319,0.728465331,0.702000476
0.728705935,0.728544231,0.702044006
0.728787079,0.728620893,0.702088181
0.728882463,0.728688754,0.702113625
0.728956408,0.728757093,0.702149798
0.729047635,0.728842876,0.702160365
0.729169583,0.728892813,0.702180688
0.729261121,0.728969153,0.70219925
0.729361948,0.729046778,0.702234774
0.729467738,0.729141041,0.702253816
0.729547917,0.729218987,0.702272226
0.729659304,0.729284763,0.702303595
0.729746687,0.729375659,0.702330488
0.729843673,0.729433443,0.702351457
0.72990225,0.729505145,0.70239403
0.730008353,0.729597959,0.70240859
0.730113342,0.729693823,0.702427959
0.730158806,0.729769527,0.702464611
0.730247633,0.729841062,0.702482221
0.730347017,0.729902844,0.702508145
0.730400158,0.729969428,0.702545597
0.73047442,0.73005297,0.702568966
0.730547721,0.730122112,0.702591217
0.730630301,0.730204691,0.702615072
0.730708722,0.730272552,0.702622114
0.730803783,0.730339776,0.702625322
0.730888763,0.730405557,0.702675745
0.730919175,0.73048718,0.702682951
0.730994559,0.730556484,0.702715601
0.731075063,0.730642746,0.70273161
0.731168847,0.730717169,0.702763938
0.73125575,0.73077815,0.702787317
0.731344089,0.730839769,0.702797399
0.731437226,0.730895303,0.702836603
0.731505087,0.730951477,0.702884451
0.731592794,0.731014381,0.702915014
0.731668495,0.731091044,0.702954698
0.731750277,0.731166909,0.702986068
0.731813503,0.731234285,0.702993277
0.731894327,0.731294785,0.703018241
0.731972107,0.731351286,0.703028644
0.732054848,0.731405544,0.703067221
0.732143349,0.731469563,0.703103076
0.732183687,0.731534065,0.703130757
0.732232349,0.731588641,0.703152999
0.73229765,0.731634097,0.703157964
0.73236871,0.731715398,0.703200041
0.732437373,0.731764854,0.703217481
0.732526518,0.731825833,0.703242283
0.732571655,0.731901048,0.703249647
0.732625111,0.731971148,0.703276692
0.732702097,0.732026528,0.70327525
0.732778275,0.73209935,0.703322296
0.732859737,0.732173611,0.703348064
0.732931759,0.732239071,0.70338392
0.733016424,0.732302128,0.703414174
0.733098526,0.732354946,0.703447787
0.733176144,0.732415603,0.703466344
0.733238407,0.732474985,0.703495631
0.733311066,0.732546203,0.703524278
0.733395884,0.732608618,0.703563967
0.733468705,0.732668955,0.703590372
0.733551442,0.732729295,0.703606219
0.733626183,0.73279379,0.703671994
0.733679964,0.732846923,0.7036864
0.733752627,0.732913504,0.703716488
0.733796962,0.732972879,0.703738095
0.733848498,0.733033381,0.703757461
0.733916197,0.733103963,0.703781467
0.733981177,0.733173104,0.703822593
0.734042478,0.733230399,0.703880049
0.734103137,0.733289774,0.703905656
0.734179317,0.733354117,0.703946469
0.734241893,0.73340661,0.703958314
0.734319031,0.733461352,0.703976567
0.734373611,0.733520248,0.703984253
0.73443187,0.733577547,0.704004584
0.734488528,0.73364413,0.703998659
0.734546309,0.733697266,0.704023463
0.734619927,0.733760322,0.704051792
